postcode,p6_kwh_2023,p6_kwh_productie_2023,p6_gasm3_2023,p6_gas_aansluitingen_2023,p6_grondbeslag_m2,pc6_gemiddelde_woz_waarde_woning,pc6_eigendomssituatie_perc_koop,pc6_eigendomssituatie_perc_huur,pc6_eigendomssituatie_aantal_woningen_corporaties,buurtcode,wijkcode,gemeentecode,oppervlakte,woningequivalent,gas_ean_count,heat_demand_label_based,residential_share,address_count,p6_gasm3_2023_raw,climate_normalized,gas_input_kwh_annual,heat_gas_delivered,heat_nongas_estimated,heat_gross_annual,current_electrification_share,weight_res,weight_nonres,weight_E1,weight_E2,weight_G1,weight_G2
1483AA,7098.0,1112.0,2010.1999999999998,67,4630,658,0,0,0,BU03611003,WK036110,GM0361,3448.0,9,7,765647.5,1.0,9,1748.0,True,7659.4650599999995,7046.7078552,11021.7738248,18068.48168,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AB,5743.0,149.0,2010.1999999999998,67,4630,0,0,0,0,BU03611003,WK036110,GM0361,1329.0,9,8,386872.5,0.875,8,1748.0,True,7659.4650599999995,7046.7078552,11021.7738248,18068.48168,0.61,0.875,0.125,0.875,0.125,0.875,0.125
1483AC,5743.0,149.0,2010.1999999999998,67,4630,410,80,0,0,BU03611003,WK036110,GM0361,2814.0,22,19,674262.5,0.9,20,1748.0,True,7659.4650599999995,7046.7078552,11021.7738248,18068.48168,0.61,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.09999999999999998
1483AD,3125.0,7.0,1669.8,25,1215,374,100,0,0,BU03611003,WK036110,GM0361,1970.0,14,14,713937.5,1.0,14,1452.0,True,6362.43894,5853.443824800001,9155.386495199999,15008.83032,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AE,3755.0,242.0,1877.9499999999998,24,2127,503,90,0,0,BU03611003,WK036110,GM0361,2576.0,18,12,804887.5,0.9166666666666666,12,1633.0,True,7155.552884999999,6583.108654199999,10296.657125799999,16879.765779999998,0.61,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337
1483AG,3427.0,581.0,1984.8999999999999,26,1701,0,0,0,0,BU03611003,WK036110,GM0361,506.0,4,4,188080.0,1.0,4,1726.0,True,7563.064469999999,6958.0193124,10883.0558476,17841.07516,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AH,3427.0,581.0,1984.8999999999999,26,1701,494,100,0,0,BU03611003,WK036110,GM0361,1676.0,12,9,538790.0,0.9090909090909091,11,1726.0,True,7563.064469999999,6958.0193124,10883.0558476,17841.07516,0.61,0.9090909090909091,0.09090909090909094,0.9090909090909091,0.09090909090909094,0.9090909090909091,0.09090909090909094
1483AJ,3401.0,1035.0,1595.05,42,2715,0,0,0,0,BU03611003,WK036110,GM0361,233.0,3,3,95530.0,1.0,3,1387.0,True,6077.619014999999,5591.4094938,8745.5379262,14336.94742,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AK,3401.0,1035.0,1595.05,42,2715,404,0,0,0,BU03611003,WK036110,GM0361,821.0,7,6,209727.5,1.0,7,1387.0,True,6077.619014999999,5591.4094938,8745.5379262,14336.94742,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AL,3401.0,1035.0,0.0,0,0,0,0,0,0,BU03611003,WK036110,GM0361,46.59,0,1,19101.9,0.0,1,0.0,True,0.0,0.0,19101.9,19101.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1483AM,3401.0,1035.0,1595.05,42,2715,616,90,0,0,BU03611003,WK036110,GM0361,2600.0,15,15,750167.5,1.0,15,1387.0,True,6077.619014999999,5591.4094938,8745.5379262,14336.94742,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AN,4494.0,84.0,2331.0499999999997,38,3582,0,0,0,0,BU03611003,WK036110,GM0361,414.0,4,4,136655.0,1.0,4,2027.0,True,8881.999815,8171.4398298,12780.969990199997,20952.409819999997,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483AP,4494.0,84.0,2331.0499999999997,38,3582,559,90,0,0,BU03611003,WK036110,GM0361,3578.0,21,16,1236567.5,0.8823529411764706,17,2027.0,True,8881.999815,8171.4398298,12780.969990199997,20952.409819999997,0.61,0.8823529411764706,0.11764705882352944,0.8823529411764706,0.11764705882352944,0.8823529411764706,0.11764705882352944
