identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000000253,1829EG,26,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101067
0361010000000254,1829EG,27,145,woonfunctie,Verblijfsobject in gebruik,0361100000021320
0361010000000256,1829EG,28,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101068
0361010000000259,1829EG,30,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101069
0361010000000262,1829EG,32,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101070
0361010000000265,1829EG,34,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101071
0361010000000266,1829EG,35,145,woonfunctie,Verblijfsobject in gebruik,0361100000021314
0361010000000267,1829EG,36,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101072
0361010000000268,1829EG,37,145,woonfunctie,Verblijfsobject in gebruik,0361100000021313
0361010000000269,1829EG,38,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101073
0361010000000270,1829EG,39,145,woonfunctie,Verblijfsobject in gebruik,0361100000021312
0361010000000271,1829EG,41,145,woonfunctie,Verblijfsobject in gebruik,0361100000100986
0361010000000272,1829EG,42,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101074
0361010000000273,1829EG,44,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101075
0361010000000274,1829EG,46,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101076
0361010000000275,1829EG,48,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101077
0361010000000276,1829EG,50,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101078
0361010000000277,1829EG,52,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101079
0361010000000278,1829EG,54,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101080
0361010000000279,1829EG,56,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101081
0361010000000280,1829EG,58,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101082
0361010000000281,1829EG,60,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101083
0361010000000282,1829EG,62,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101084
0361010000000283,1829EG,64,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101085
0361010000000284,1829EG,66,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101086
0361010000000285,1829EG,68,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101087
0361010000000286,1829EG,70,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101088
0361010000000287,1829EG,72,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101089
0361010000000288,1829EG,74,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101090
0361010000000289,1829EG,76,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101091
0361010000000290,1823HB,1,139,gezondheidszorgfunctie,Verblijfsobject in gebruik,0361100000018917
0361010000000291,1811JZ,1,1725,kantoorfunctie,Verblijfsobject in gebruik,0361100000105554
0361010000000292,1811MD,1,138,"overige gebruiksfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000106852
0361010000000293,1811MD,2,107,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105052
0361010000000294,1811MD,2,30,kantoorfunctie,Verblijfsobject in gebruik,0361100000105054
0361010000000295,1811MD,3,115,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106852
0361010000000296,1811MD,4,96,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105051
0361010000000297,1811MD,6,87,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105050
0361010000000299,1811MD,8,116,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105049
0361010000000300,1811MD,9,64,woonfunctie,Verblijfsobject in gebruik,0361100000106854
0361010000000301,1811MD,10,160,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105048
0361010000000302,1811MD,11,60,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106855
0361010000000303,1811MD,12,159,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105047
0361010000000304,1811MD,13,80,woonfunctie,Verblijfsobject in gebruik,0361100000106856
0361010000000305,1811MD,14,79,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105045
0361010000000306,1811MD,15,56,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106856
0361010000000307,1811MD,16,77,woonfunctie,Verblijfsobject in gebruik,0361100000105045
0361010000000308,1811MD,17,60,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106857
0361010000000309,1811MD,18,111,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105043
0361010000000310,1811MD,18,111,woonfunctie,Verblijfsobject in gebruik,0361100000105043
0361010000000311,1811MD,19,51,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106858
0361010000000314,1811MD,23,54,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106859
0361010000000316,1811MD,27,21,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106860
0361010000000317,1811MD,28,50,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105038
0361010000000318,1811MD,29,78,winkelfunctie,Verblijfsobject in gebruik,0361100000106861
0361010000000320,1811MD,31,28,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106862
0361010000000321,1811MD,33,39,"overige gebruiksfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000106863
0361010000000322,1811MD,35,51,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106864
0361010000000323,1811MD,37,29,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106865
0361010000000324,1811MD,39,28,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106866
0361010000000325,1811MD,41,132,woonfunctie,Verblijfsobject in gebruik,0361100000106867
0361010000000326,1822DC,2,167,woonfunctie,Verblijfsobject in gebruik,0361100000035190
0361010000000327,1822DC,3,165,woonfunctie,Verblijfsobject in gebruik,0361100000035410
0361010000000328,1822DC,3,163,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000035410
0361010000000331,1811LH,1,49,woonfunctie,Verblijfsobject in gebruik,0361100000105684
0361010000000332,1811LJ,2,44,winkelfunctie,Verblijfsobject in gebruik,0361100000105676
0361010000000333,1811LH,3,50,woonfunctie,Verblijfsobject in gebruik,0361100000105685
0361010000000794,1825NW,72,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000334,1811LH,3,58,"winkelfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000105687
0361010000000795,1825NR,73,76,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000335,1811LH,3,41,woonfunctie,Verblijfsobject in gebruik,0361100000105688
0361010000000796,1825NW,74,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000337,1811LJ,4,57,woonfunctie,Verblijfsobject in gebruik,0361100000105675
0361010000000797,1825NR,75,68,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000798,1825NW,76,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000338,1811LJ,6,78,woonfunctie,Verblijfsobject in gebruik,0361100000105674
0361010000000339,1811LJ,8,55,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105673
0361010000000799,1825NR,77,44,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000340,1811LJ,10,54,woonfunctie,Verblijfsobject in gebruik,0361100000105673
0361010000000800,1825NW,78,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000341,1811LJ,12,66,woonfunctie,Verblijfsobject in gebruik,0361100000105672
0361010000000801,1825NR,79,90,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000342,1811LH,13,65,woonfunctie,Verblijfsobject in gebruik,0361100000105694
0361010000000343,1811LJ,14,72,woonfunctie,Verblijfsobject in gebruik,0361100000105671
0361010000000802,1825NW,80,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000344,1811LH,15,60,winkelfunctie,Verblijfsobject in gebruik,0361100000105695
0361010000000803,1825NR,81,76,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000345,1811LH,17,30,winkelfunctie,Verblijfsobject in gebruik,0361100000105697
0361010000000804,1825NW,82,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000348,1811LJ,18,89,woonfunctie,Verblijfsobject in gebruik,0361100000105726
0361010000000805,1825NR,83,68,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000349,1811LJ,18,99,woonfunctie,Verblijfsobject in gebruik,0361100000105726
0361010000000806,1825NW,84,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000350,1811LH,19,132,winkelfunctie,Verblijfsobject in gebruik,0361100000105698
0361010000000807,1825NR,85,44,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000351,1811LH,19,88,woonfunctie,Verblijfsobject in gebruik,0361100000105427
0361010000000808,1825NW,86,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000352,1811LJ,20,97,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105726
0361010000000809,1825NR,87,147,woonfunctie,Verblijfsobject in gebruik,0361100000121384
0361010000000810,1825NW,88,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000811,1825NR,89,118,woonfunctie,Verblijfsobject in gebruik,0361100000121383
0361010000000812,1825NX,90,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000813,1825NR,91,90,woonfunctie,Verblijfsobject in gebruik,0361100000107124
0361010000000814,1825NX,92,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000815,1825NR,93,90,woonfunctie,Verblijfsobject in gebruik,0361100000107123
0361010000000816,1825NX,94,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000817,1825NR,95,90,woonfunctie,Verblijfsobject in gebruik,0361100000107121
0361010000000357,1811LH,25,60,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000818,1825NX,96,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000819,1825NR,97,90,woonfunctie,Verblijfsobject in gebruik,0361100000107120
0361010000000820,1825NX,98,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000358,1811LH,27,89,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000821,1825NR,99,67,woonfunctie,Verblijfsobject in gebruik,0361100000107119
0361010000000359,1811LH,29,80,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000360,1811LJ,30,183,winkelfunctie,Verblijfsobject in gebruik,0361100000105728
0361010000000822,1825NX,100,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000823,1825NR,101,67,woonfunctie,Verblijfsobject in gebruik,0361100000107118
0361010000000361,1811LH,31,58,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000824,1825NX,102,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000825,1825NR,103,67,woonfunctie,Verblijfsobject in gebruik,0361100000107116
0361010000000826,1825NX,104,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000363,1811LH,33,78,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000827,1825NR,105,67,woonfunctie,Verblijfsobject in gebruik,0361100000107115
0361010000000828,1825NX,106,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000364,1811LJ,34,65,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000829,1825NR,107,90,woonfunctie,Verblijfsobject in gebruik,0361100000107114
